date,game_id,season,neutral,playoff,home,away,elo1_pre_home,elo2_pre_away,home_score,away_score
03-12-2021,339,2022,0,,UTA,BOS,1639.644713,1517.807254,137,130
03-12-2021,340,2022,0,,GSW,PHO,1657.001282,1709.272578,118,96
03-12-2021,341,2022,0,,LAL,LAC,1492.537404,1505.32188,115,119
04-12-2021,342,2022,0,,NYK,DEN,1509.829756,1537.583615,99,113
04-12-2021,343,2022,0,,MIL,MIA,1621.161658,1550.001441,124,102
04-12-2021,344,2022,0,,BRK,CHI,1610.926615,1556.582109,107,111
04-12-2021,345,2022,0,,DAL,MEM,1514.050904,1480.732266,90,97
04-12-2021,346,2022,0,,GSW,SAS,1671.564953,1488.120311,107,112
04-12-2021,347,2022,0,,POR,BOS,1523.284654,1514.691251,117,145
04-12-2021,348,2022,0,,SAC,LAC,1422.159179,1513.792308,104,99
05-12-2021,349,2022,0,,CLE,UTA,1516.066872,1642.760716,108,109
05-12-2021,350,2022,0,,ATL,CHO,1573.47191,1495.205505,127,130
05-12-2021,351,2022,0,,TOR,WAS,1473.758745,1492.435792,102,90
05-12-2021,352,2022,0,,HOU,NOP,1320.822428,1452.706147,118,108
06-12-2021,353,2022,0,,IND,WAS,1493.558532,1484.02194,116,110
06-12-2021,354,2022,0,,DET,OKC,1329.236716,1287.62618,103,114
